,both,both without A,both GP speech only,ICPC only,ICPC only without A,ICPC only GP speech only,CKS only,CKS only without A,CKS only GP speech only
binary NB,0.2544471145541132,0.2714102555243874,0.26672405466221083,0.32338432684388074,0.3449432819668061,0.37178690983811546,0.23362108239865592,0.24919582122523298,0.21894473417991978
multiclass NB,0.3784874971009425,0.3851762744931857,0.371557875856802,0.512469321510151,0.5078629722563888,0.4838780179767204,0.37473277789626813,0.3906985124276803,0.35281307059221356
nearest centroid,0.3665291751261394,0.0904382055852644,0.40446344071537094,0.44459231642569885,0.09277777777777779,0.42484235835552,0.3648350602213857,0.08580944371312954,0.3930916080690182
